           1   31558037095947572.     
           2   57082061000295480.     
           3   1.3277229689738906E+017
           4   3.2819100949555859E+017
           5   6.6090265495728678E+017
           6   1.9722983794803948E+018
           7   2.5193986708333128E+018
           8   1.9660557144683103E+018
           9   2.0517934916600609E+018
          10   2.5977445308052736E+018
          11   3.1910196025357814E+018
          12   3.6493722380987428E+018
          13   4.2379655972027013E+018
          14   5.1458147661725911E+018
          15   6.0153601506937733E+018
          16   6.6539270666734674E+018
          17   7.0760972770976614E+018
          18   7.4774440137346447E+018
          19   7.5937466649898721E+018
          20   7.4593305042209567E+018
          21   7.4422395196293612E+018
          22   7.6385836380577556E+018
          23   7.7282664104421857E+018
          24   7.8602735572095519E+018
          25   7.9757547745145293E+018
          26   8.4080199802667704E+018
          27   8.7948506808558633E+018
          28   9.3817155872082616E+018
          29   1.1745487841419557E+019
          30   1.4034324957248315E+019
          31   1.6909854257177973E+019
          32   2.2839020003502899E+019
          33   3.0674778989946986E+019
          34   3.9646915033360556E+019
          35   5.0689995620199195E+019
          36   6.1533856025778807E+019
          37   7.3235716934714712E+019
          38   8.5790978287929229E+019
          39   9.9204834407165805E+019
          40   1.1236426767739106E+020
          41   1.2238522550759375E+020
          42   1.3166046431643727E+020
          43   1.4004639749992712E+020
          44   1.4634460588292397E+020
          45   1.4855621756902192E+020
          46   1.4932523536863170E+020
          47   1.4804199473334977E+020
          48   1.4577654910180424E+020
          49   1.4401414469564799E+020
          50   1.4332140790420939E+020
          51   1.4327228710975129E+020
          52   1.4249718359306569E+020
          53   1.4043772825487118E+020
          54   1.3795938535315928E+020
          55   1.3573123544910085E+020
          56   1.3370814240767005E+020
          57   1.3209113258325729E+020
          58   1.3113404666395332E+020
          59   1.2999240915977858E+020
          60   1.2932850138107432E+020
          61   1.2825680569241295E+020
          62   1.2640819466970300E+020
          63   1.2464690898153852E+020
          64   1.2260464225556346E+020
          65   1.2078217887651783E+020
          66   1.1944088633223006E+020
          67   1.1831649811891613E+020
          68   1.1700859331433829E+020
          69   1.1593521982488348E+020
          70   1.1513882973096526E+020
          71   1.1421692097826141E+020
          72   1.1217207693693231E+020
          73   1.0997758634206804E+020
          74   1.0823688632226320E+020
          75   1.0685914125989490E+020
          76   1.0565149126230298E+020
          77   1.0463917870336318E+020
          78   1.0346195867009907E+020
          79   1.0233380658698424E+020
          80   1.0154466892388418E+020
          81   1.0080924544480600E+020
          82   9.9647894694034227E+019
          83   9.9194311739232715E+019
          84   9.8196415689713074E+019
          85   9.6953536964422173E+019
          86   9.6102320183682400E+019
          87   9.5383578718850417E+019
          88   9.4657591248234627E+019
          89   9.4507477128596947E+019
          90   9.3701874805555266E+019
          91   9.2901326574400881E+019
          92   9.2760189374762959E+019
          93   9.2524401685164540E+019
          94   9.2198348513215463E+019
          95   9.2241604865825309E+019
          96   9.2470894952588411E+019
          97   9.3646375997973676E+019
          98   9.4149794512223601E+019
          99   9.5185083440171008E+019
         100   9.5801118041035670E+019
         101   9.6008491225623937E+019
         102   9.7230740296010924E+019
         103   9.9370175696483320E+019
         104   1.0214996067069093E+020
         105   1.0205444084054819E+020
         106   1.0337278917678070E+020
         107   1.0577606593482084E+020
         108   1.0627004464172170E+020
         109   1.0712842638280642E+020
         110   1.0767032488747740E+020
         111   1.0723498488955534E+020
         112   1.0728452080157730E+020
         113   1.0432181737852643E+020
         114   9.9483972169535406E+019
         115   9.7025811302954467E+019
         116   9.2058863249043145E+019
         117   8.6071446220614730E+019
         118   8.0691280412136161E+019
         119   7.3078695666064155E+019
         120   6.5921452809226207E+019
         121   5.8204332886485729E+019
         122   5.0941548610978185E+019
         123   4.3362449901852606E+019
         124   3.6195598901959045E+019
         125   2.9391243819642085E+019
         126   2.1868018572041331E+019
         127   1.5664459427309558E+019
         128   8.9540408911107717E+018
         129   5.1394105531387116E+018
